Citizenship,Stream,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,Family,100,90,112,119,98,104,135,221,937,949,649,804,663,907,931,763
Africa (so stated),Family,0,1,1,1,2,0,2,1,0,0,0,0,0,0,0,0
Albania,Family,69,74,37,47,70,55,261,123,124,98,72,75,108,87,58,79
Algeria,Family,20,29,19,9,15,33,28,20,19,19,22,22,14,22,24,18
American Samoa,Family,1,0,0,0,0,2,1,0,2,1,0,1,0,0,0,1
Andorra,Family,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Angola,Family,1,0,1,2,0,11,0,0,0,0,7,2,5,3,0,1
Antigua and Barbuda,Family,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0
Argentina,Family,67,56,48,54,85,73,132,107,73,60,77,58,74,65,57,42
Armenia,Family,17,15,20,13,16,19,18,13,6,21,19,32,18,22,24,9
Aust. Ext. Terr. (so stated),Family,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,Family,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Austria,Family,65,63,62,71,78,91,81,72,79,74,72,61,81,75,51,64
Azerbaijan,Family,1,7,2,9,7,3,7,11,13,7,8,3,15,10,14,12
Bahamas,Family,0,0,1,0,0,1,0,0,1,2,1,1,0,3,2,0
Bahrain,Family,0,2,1,1,0,2,1,2,2,2,2,2,1,1,2,12
Bangladesh,Family,144,138,194,123,163,169,228,223,228,340,398,592,666,521,611,528
Barbados,Family,0,4,2,2,0,0,1,2,2,3,2,2,0,1,1,-1
Belarus,Family,12,12,12,19,19,25,20,14,41,36,45,20,31,25,27,16
Belgium,Family,57,35,33,47,57,48,55,57,48,51,61,67,65,81,65,70
Belize,Family,2,4,1,0,1,2,4,0,1,0,0,1,1,0,0,0
Benin,Family,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,5
Bermuda,Family,1,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0
Bhutan,Family,1,2,1,0,0,0,0,1,0,2,2,2,1,4,3,5
Bolivia,Family,10,8,22,13,26,8,22,9,7,13,13,12,7,16,8,15
Bosnia-Herzegovina,Family,58,73,91,103,106,154,142,175,142,152,117,181,110,125,85,110
Botswana,Family,2,1,0,0,0,2,10,6,10,12,13,10,8,20,23,6
Brazil,Family,116,101,116,126,189,216,240,261,226,253,394,333,418,485,378,472
British Indian Ocean Terr,Family,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0
British West Indies (stated),Family,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei Darussallam,Family,2,2,2,2,2,8,4,8,6,5,12,8,10,12,13,10
Bulgaria,Family,48,46,43,46,36,56,57,52,52,46,43,50,54,52,21,33
Burkina Faso,Family,2,0,0,2,0,2,1,0,0,0,1,0,1,1,1,1
Burundi,Family,0,0,1,0,0,0,1,0,0,0,8,5,13,18,29,37
"Cambodia, the Kingdom of",Family,466,462,377,276,319,508,603,531,573,517,673,596,670,875,652,746
Cameroon,Family,2,2,0,0,7,4,5,2,2,7,15,7,7,12,13,10
Canada,Family,731,764,589,714,834,865,805,872,860,972,908,955,942,1053,863,903
Cape Verde,Family,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1
Cayman Islands,Family,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
