Country_code,Stream,2011
AF,Family,763
Africa (so stated),Family,0
AL,Family,79
DZ,Family,18
AS,Family,1
AD,Family,0
AO,Family,1
AG,Family,0
AR,Family,42
AM,Family,9
Aust. Ext. Terr. (so stated),Family,0
AU,Family,0
AT,Family,64
AZ,Family,12
BS,Family,0
BH,Family,12
BD,Family,528
BB,Family,-1
BY,Family,16
BE,Family,70
BZ,Family,0
BJ,Family,5
BM,Family,0
BT,Family,5
BO,Family,15
BA,Family,110
BW,Family,6
BR,Family,472
British Indian Ocean Terr,Family,0
British West Indies (stated),Family,0
Brunei Darussallam,Family,10
BG,Family,33
BF,Family,1
BI,Family,37
KH,Family,746
CM,Family,10
CA,Family,903
CV,Family,1
KY,Family,0
CF,Family,0
Central America (so stated),Family,0
TD,Family,1
CL,Family,108
CO,Family,378
KM,Family,0
CG,Family,5
CR,Family,9
CI,Family,4
HR,Family,90
CU,Family,20
CY,Family,13
CZ,Family,99
Czechoslovakia,Family,0
TL,Family,13
CD,Family,74
DK,Family,82
DJ,Family,4
DM,Family,0
DO,Family,5
East Africa (so stated),Family,0
EC,Family,32
EG,Family,338
SV,Family,29
ER,Family,52
EE,Family,32
ET,Family,407
FK,Family,0
Fed. States of Micronesia,Family,0
FJ,Family,628
FI,Family,77
MK,Family,154
FR,Family,519
GF,Family,0
PF,Family,0
GA,Family,0
GM,Family,1
Gaza Strip,Family,0
GE,Family,8
DE,Family,749
GH,Family,173
GI,Family,0
GR,Family,286
GD,Family,1
GT,Family,2
GN,Family,15
GW,Family,0
GY,Family,1
HT,Family,0
HN,Family,0
HK,Family,564
HU,Family,84
IS,Family,12
IN,Family,5489
ID,Family,1098
IR,Family,422
IQ,Family,452
IE,Family,828
IL,Family,98
IT,Family,408
JM,Family,7
JP,Family,869
JO,Family,158
KZ,Family,40
KE,Family,136
KI,Family,2
Korea Dem Peoples Rep Of,Family,0
KR,Family,1108
Kosovar,Family,19
KW,Family,2
KG,Family,5
LA,Family,124
LV,Family,39
LB,Family,1044
LS,Family,1
LR,Family,76
LY,Family,1
LI,Family,2
LT,Family,29
LU,Family,1
Macau Spec Admin Rgn,Family,21
MG,Family,1
MW,Family,2
MY,Family,886
MV,Family,5
ML,Family,5
MT,Family,33
MH,Family,0
MR,Family,1
MU,Family,141
MX,Family,121
Middle East (so stated),Family,0
MD,Family,13
MC,Family,0
MN,Family,22
ME,Family,12
MA,Family,42
MZ,Family,6
MM,Family,193
NA,Family,3
NR,Family,9
NP,Family,399
NL,Family,285
Netherlands Antilles,Family,0
NC,Family,0
NI,Family,10
NE,Family,1
NG,Family,121
NO,Family,95
OM,Family,-1
PK,Family,965
PW,Family,0
Palestinian Authority,Family,14
PA,Family,3
PG,Family,165
PY,Family,1
CN,Family,9703
PE,Family,167
PH,Family,3859
PL,Family,237
PT,Family,92
QA,Family,1
Refugee,Family,1
RE,Family,0
RO,Family,122
RU,Family,506
RW,Family,23
WS,Family,67
SA,Family,1
SN,Family,6
RS,Family,126
Serbia and Montenegro,Family,1
SC,Family,12
SL,Family,87
SG,Family,414
Slovakia,Family,57
SI,Family,15
SB,Family,27
SO,Family,187
ZA,Family,899
South America (so stated),Family,0
SS,Family,11
ES,Family,165
LK,Family,794
St Kitts-Nevis,Family,0
St Lucia,Family,2
St Vincent & the Grenadines,Family,0
Stateless,Family,63
SD,Family,309
SR,Family,0
SZ,Family,0
SE,Family,244
CH,Family,118
SY,Family,204
Tadjikistan,Family,0
TW,Family,449
TZ,Family,23
TH,Family,2066
TG,Family,5
TO,Family,165
TT,Family,12
TN,Family,10
TR,Family,372
TM,Family,1
TV,Family,6
U.S.S.R.,Family,1
UG,Family,32
UA,Family,170
UN Convention Refugee,Family,10
AE,Family,2
GB,Family,5746
United Nations Organisation,Family,0
US,Family,1896
Unknown,Family,9
UY,Family,19
UZ,Family,39
VU,Family,19
VE,Family,57
VN,Family,3685
West Bank,Family,0
YE,Family,7
MK,Family,4
ZM,Family,41
ZW,Family,169
(blank),Skill,0
AF,Skill,25
Africa (so stated),Skill,0
AL,Skill,44
DZ,Skill,0
America Central (so stated),Skill,0
AS,Skill,1
AD,Skill,0
AO,Skill,0
AG,Skill,1
AR,Skill,161
AM,Skill,29
Aust. Ext. Terr. (so stated),Skill,0
AT,Skill,102
AZ,Skill,28
BS,Skill,0
BH,Skill,12
BD,Skill,2005
BB,Skill,0
BY,Skill,26
BE,Skill,132
BZ,Skill,1
BJ,Skill,3
BM,Skill,0
BT,Skill,3
BO,Skill,11
BA,Skill,9
BW,Skill,62
BR,Skill,604
British Indian Ocean Terr,Skill,0
British West Indies (stated),Skill,0
Brunei Darussallam,Skill,23
BG,Skill,54
BF,Skill,0
BI,Skill,0
KH,Skill,53
CM,Skill,1
CA,Skill,1101
CV,Skill,0
KY,Skill,0
CF,Skill,1
Central America (so stated),Skill,0
CL,Skill,123
CO,Skill,575
KM,Skill,0
CG,Skill,4
CK,Skill,0
CR,Skill,5
CI,Skill,0
HR,Skill,25
CU,Skill,15
CY,Skill,3
CZ,Skill,99
Czechoslovakia,Skill,1
TL,Skill,0
CD,Skill,3
DK,Skill,70
DJ,Skill,0
DM,Skill,1
DO,Skill,2
EC,Skill,10
EG,Skill,780
SV,Skill,4
GQ,Skill,1
ER,Skill,11
EE,Skill,32
ET,Skill,27
Europe (so stated),Skill,0
Faeroe Islands,Skill,0
Fed. States of Micronesia,Skill,0
FJ,Skill,676
FI,Skill,78
MK,Skill,60
FR,Skill,883
PF,Skill,0
GA,Skill,0
GM,Skill,0
Gaza Strip,Skill,0
GE,Skill,5
DE,Skill,1148
GH,Skill,78
